BoardSN,CompName,Type,cModel,DLinference_result,directory,ConfirmDefect,MachineDefect,Status,image_name,LightingCondition,image_scantime,BoardRESULT
1.61E+12,C1002_1,032-1113-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_0.97,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1113-000HF~C1002_1~1614919000211_,SolderLight.jpg_LowAngleLight.jpg_UniformLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1015_1,032-0805-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-0805-000HF~C1015_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1016_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1016_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1017_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1017_1~1614919000211_,UniformLight.jpg_SolderLight.jpg_LowAngleLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1018_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1018_1~1614919000211_,WhiteLight.jpg_UniformLight.jpg_SolderLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C1019_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C1019_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_SolderLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,C998_1,032-1120-000HF,690-6G189-0600-305RH1_BOT,PASS_Hig_1.0,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~032-1120-000HF~C998_1~1614919000211_,UniformLight.jpg_LowAngleLight.jpg_SolderLight.jpg_WhiteLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,D501_1,090-0374-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.66,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~090-0374-000HF~D501_1~1614919000211_,WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg_SolderLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,D502_1,090-0203-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~090-0203-000HF~D502_1~1614919000211_,UniformLight.jpg_SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
1.61E+12,J501_1,080-1730-000HF,690-6G189-0600-305RH1_BOT,PASS_Low_0.65,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS,PASS,PASS,690-6G189-0600-305RH1_BOT~080-1730-000HF~J501_1~1614919000211_,SolderLight.jpg_WhiteLight.jpg_LowAngleLight.jpg_UniformLight.jpg,TEST_690-6G189-0600-305RH1_1614919000211_AOI_20191217042523,PASS_1.1
